Kirjanpitoyksikkö;Hallinnonala;Internetsivu avoimelle datalle;Avoimen datan sovellukset
Eduskunta;Eduskunta;https://avoindata.eduskunta.fi/#/fi/home;Democratize, Yle vallan vahtibotti, voitto robortti, lataamo, kansanmuisti, Invenco
Valtiontalouden tarkastusvirasto;Eduskunta;-;
Ulkopoliittinen instituutti;Eduskunta;-;
Tasavallan presidentin kanslia;Tasavallan presidentin kanslia;-;
Valtioneuvoston kanslia;Valtioneuvoston kanslia;-;
Ulkoministeriö;Ulkoasiainministeriö;-;
Oikeusministeriö;Oikeusministeriö;https://oikeusministerio.fi/artikkeli/-/asset_publisher/finlex-tietopankki-tarjolla-jatkossa-avoimena-datana;
Rikosseuraamuslaitos;Oikeusministeriö;-;
Syyttäjälaitos;Oikeusministeriö;;
Ulosottolaitos;Oikeusministeriö;;
Oikeusrekisterikeskus;Oikeusministeriö;;
Sisäministeriö;Sisäministeriö;;
Rajavartiolaitos;Sisäministeriö;;
Suojelupoliisi;Sisäministeriö;Suojelupoliisi luovuttaa 60 vuoden salassapitoajan päätyttyä asiakirjat Kansallisarkistoon;
Pelastusopisto;Sisäministeriö;;
Poliisihallitus;Sisäministeriö;;
Maahanmuuttovirasto;Sisäministeriö;;
Hätäkeskuslaitos;Sisäministeriö;;
Puolustusministeriö;Puolustusministeriö;;
Puolustusvoimat;Puolustusministeriö;;
Puolustushallinnon rakennuslaitos;Puolustusministeriö;;
Ahvenanmaan valtionvirasto;Valtiovarainministeriö;;
Valtiovarainministeriö;Valtiovarainministeriö;;
Valtiokonttori;Valtiovarainministeriö;;
Tulli;Valtiovarainministeriö;;
Verohallinto;Valtiovarainministeriö;;
Valtion taloudellinen tutkimuskeskus;Valtiovarainministeriö;;
Väestörekisterikeskus;Valtiovarainministeriö;;
Valtion talous- ja henkilöstöhallinnon palvelukeskus;Valtiovarainministeriö;;
Rahoitusvakausvirasto;Valtiovarainministeriö;;
Valtion tieto- ja viestintätekniikkakeskus Valtori;Valtiovarainministeriö;;
Tilastokeskus;Valtiovarainministeriö;;
Etelä-Suomen aluehallintovirasto;Valtiovarainministeriö;;
Opetus- ja kulttuuriministeriö;Opetus- ja kulttuuriministeriö;;
Kansallisarkisto;Opetus- ja kulttuuriministeriö;;
Suomen Akatemia;Opetus- ja kulttuuriministeriö;;
Museovirasto;Opetus- ja kulttuuriministeriö;;
Suomenlinnan hoitokunta;Opetus- ja kulttuuriministeriö;;
Opetushallitus;Opetus- ja kulttuuriministeriö;;
Maanmittauslaitos;Maa- ja metsätalousministeriö;;
Luonnonvarakeskus;Maa- ja metsätalousministeriö;https://www.luke.fi/avoin-tieto/;
Ruokavirasto;Maa- ja metsätalousministeriö;https://avointieto.ruokavirasto.fi/;
Maa- ja metsätalousministeriö;Maa- ja metsätalousministeriö;;
Liikenne- ja viestintäministeriö;Liikenne- ja viestintäministeriö;;
Väylävirasto;Liikenne- ja viestintäministeriö;;
Liikenne- ja viestintävirasto;Liikenne- ja viestintäministeriö;;
Ilmatieteen laitos;Liikenne- ja viestintäministeriö;;
ELY-keskusten ja TE-toimistojen kehittämis- ja hallintokeskus;Työ- ja elinkeinoministeriö;;
Geologian tutkimuskeskus;Työ- ja elinkeinoministeriö;;
Patentti- ja rekisterihallitus;Työ- ja elinkeinoministeriö;;
Innovaatiorahoituskeskus Business Finland;Työ- ja elinkeinoministeriö;;
Turvallisuus- ja kemikaalivirasto;Työ- ja elinkeinoministeriö;https://tukes.fi/tietoa-tukesista/avoin-data;
Energiavirasto;Työ- ja elinkeinoministeriö;;
Kilpailu- ja kuluttajavirasto;Työ- ja elinkeinoministeriö;;
Työ- ja elinkeinoministeriö;Työ- ja elinkeinoministeriö;;
Sosiaali- ja terveysministeriö;Sosiaali- ja terveysministeriö;;
Säteilyturvakeskus;Sosiaali- ja terveysministeriö;https://www.stuk.fi/avoin-data;
Lääkealan turvallisuus- ja kehittämiskeskus;Sosiaali- ja terveysministeriö;;
Terveyden ja hyvinvoinnin laitos;Sosiaali- ja terveysministeriö;;
Sosiaali- ja terveysalan lupa- ja valvontavirasto;Sosiaali- ja terveysministeriö;;
Sosiaaliturva-asioiden muutoksenhakulautakunta;Sosiaali- ja terveysministeriö;;
Ympäristöministeriö;Ympäristöministeriö;;
Asumisen rahoitus- ja kehittämiskeskus;Ympäristöministeriö;;
Suomen ympäristökeskus;Ympäristöministeriö;https://www.syke.fi/avointieto;
